respid,sample,comp,int_date,lang,cregion,state,density,usr,qs1,sex,eminuse,intmob,intfreq,home4nw,bbhome1,bbhome2,device1a,smart2,snsint2,device1b,device1c,device1d,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,sns2a,sns2b,sns2c,sns2d,sns2e,pial5a,pial5b,pial5c,pial5d,pial11,pial11a,pial11ao@,pial11_igbm,pial12,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
100892,2,1,180104,2,3,48,3,U,2,1,1,1,5,1,5, , ,8,1,2,2,1,2,2,1,2,1,2,2,2, , ,5, ,5,4,4,4,4,3, , ,9,1,0, , , ,60,1,2,2,1,1, , , ,1,3,98,8,8,3,3, , ,2,0.6138796,0.547173
100893,2,1,180104,1,3,40,2,R,2,1,1,2,4,1,1,1, ,1,2,2,1,2,2,2,2,2,2,1,2,1, , , , , ,3,1,1, ,1,1,information,1,1,5,1,2,1,60,1,2,1,1,7, , , ,5,1,4,3,2,2,2, , ,2,1.0269547,1.0098874
100894,2,1,180104,2,2,17,5,U,2,1,1,1,2,1,2, , ,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,3,1,1,facilita muchas cosas,9,1,0, , , ,32,1,3,1,1,3, , , ,3,1,3,3,8,4,3, , ,2,1.3980093,1.0156217
100898,2,1,180104,1,2,55,1,R,2,1,1,1,2,1,3, , ,1,2,1,1,1,2,2,1,2,1,2,1,1, , ,5, ,1,1,1,1, ,1,1,It spreads information in a way we've never been able to before. (else) none,1,1,0, , , ,44,2,5,1,2,1, , , ,1, ,99,1, ,4,2, , ,1,1.2669088,1.3820497
100899,2,1,180109,1,3,48,2,S,2,1,1,1,1,1,2, , ,1,1,2,1,2,9,2,9,1,9,1,9,9, , , ,2, ,4,2,4,4,1,1,sharing info,1,2,12,1,1,2,99,1,7,1,9,9, , , ,9, ,99,1, ,6,5, , ,2,0.575477,0.5322245
100900,2,1,180104,1,2,29,4,S,2,2,1,1,1,1,2, , ,1,1,2,1,2,2,1,1,1,1,2,1,2, ,2,2,2,3,2,1,2,2,1,1,I FEEL THAT IT'S MADE EVERYTHING MORE FUNCTIONAL AND THAT IT HAS MADE IT EASIER FOR PEOPLE TO COMMUNICATE WITH EACH OTHER.,2,1,30,1,1,1,30,1,8,1,2,1, , , ,1, ,5,3,1,2,2, , ,2,1.0829084,0.7887798
100901,2,1,180104,1,4,15,2,R,2,1,1,1,2,1,2, , ,1,1,1,1,2,1,1,1,2,1,2,1,1,3,3,2, ,3,4,1,1,4,1,1,Its good because instant communication,2,1,50,1,2,2,53,1,7,5,2,1, , , ,1, ,9,2, ,4,2, , ,2,0.7437593,0.651139
100902,2,1,180104,1,4,4,3,U,2,2,1,1,2,1,2, , ,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1, ,3,2,1,1,1,1,1,keeps us informed,1,1,5,1,2,2,21,6,4,1,2,1, , , ,1, ,7,3,1,2,2, , ,2,2.112972,1.9149002
100903,2,1,180104,1,2,17,5,U,2,2,1,1,2,2, , , ,1,2,1,1,2,2,2,2,2,2,2,2,2, , , , , ,1,1,1, ,2,1,teenagers,5,1,97,1,2,1,99,6,5,5,1,2,7, , ,4,1,6,3,9,4,3, , ,2,1.0367749,0.9435062
100905,2,1,180104,1,4,49,3,U,2,1,1,1,2,1,8, , ,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,3,3,3,2,4,1,1,benefits & easy access,8,1,0, , , ,19,6,4,2,2,1, , , ,1, ,7,1, ,7,4, , ,1,1.3985044,0.9627524
100907,2,1,180104,1,4,49,4,S,2,2,1,1,2,1,2, , ,1,1,2,1,2,2,2,1,2,1,2,1,2, , ,3, ,3,2,1,1,3,3, , ,9,1,2,1,2,2,62,3,4,3,1,7, , , ,5,1,2,4,2,1, , , ,2,0.9942594,0.8263576
100908,2,1,180104,1,4,8,3,S,2,1,1,1,2,1,2, , ,1,2,1,1,1,2,2,2,2,1,1,2,2, , , , ,1,4,2,1, ,1,1,you never hear about the good things only the bad but it has changed everuthing,8,1,4,1,2,2,20,6,2,4,2,2, , , ,2, ,6,2, ,5,5, , ,2,0.9284452,0.6529068
100909,2,1,180104,1,4,35,3,U,2,1,2,2, , , , , ,2,2,2,2,2,2,2,1,2,2,2,2,2, , ,1, , ,1,1, , ,3, , ,9, ,0, , , ,81,5,2,3,2,1, , , ,1, ,1,2, ,2,2, , ,2,1.2813431,1.6499514
100911,2,1,180104,2,4,4,1,R,2,2,1,1,2,1,2, , ,1,1,1,1,1,2,2,1,1,1,1,2,2, , ,1,4,3,2,1,2,2,3, , ,9,1,3,1,2,2,43,6,3,1,1,1, , , ,1,3,3,3,8,2,2, , ,2,1.5777744,1.2548489
100912,2,1,180104,1,4,49,4,S,2,1,1,1,2,1,2, , ,1,2,1,2,1,2,2,2,2,1,2,2,1, , , , ,3,3,2,2, ,8, , ,9,1,1,2,2,1,37,1,6,1,2,1, , , ,1, ,6,2, ,3,2, , ,2,0.7560016,0.5103661
100913,2,1,180104,1,2,46,1, ,2,1,1,1,2,2, , , ,2,1,2,2,1,2,2,1,2,1,2,2,2, , ,3, ,1,1,1,2,3,1,1,talks with friends and family,2,1,0, , , ,23,6,3,1,2,2, , , ,2, ,2,3,8,4,3, , ,2,0.813412,0.6252793
100915,2,1,180104,1,4,30,1, ,2,1,1,1,2,2, , , ,1,1,1,1,2,2,2,1,2,1,2,2,2, , ,3, ,1,6,2,2,3,3, , ,9,1,6,1,1,2,62,3,5,3,2,1, , , ,1, ,2,3,8,1, , , ,2,0.8237966,0.6888751
100916,2,1,180104,1,4,49,4, ,2,1,1,1,1,1,2, , ,1,1,1,1,1,1,2,1,2,1,2,2,2,5, ,1, ,2,4,2,1,2,8, , ,9,1,12,1,1,2,65,1,6,1,2,1, , , ,1, ,7,2, ,4,4, , ,2,0.434982,0.4333029
