CaseID,weight,tm_start,tm_finish,duration,Xspanish,Have children?,How many children?,child age,child gender,How many children under 6,ChildrenHH,parent: sleep quality,child: sleep quality,parent: imp_mood,parent: imp_health,parent: imp_performance,child: imp_mood,child: imp_health,child: imp_performance,child: imp_behavior,necessary hours of sleep,parent: oft_bath,parent: oft_music,parent: oft_alcohol,parent: oft_read,parent: oft_yoga,parent: oft_TV,parent: oft_online,parent: oft_over-counter meds,parent: oft_prescription meds,child: oft_bath,child: oft_music,child: oft_read,child: oft_yoga,child: oft_TV,child: oft_online,child: oft_meds,bedtime: school,AM or PM,wake-up: school,AM or PM,bedtime: non-school,AM or PM,wake-up: non-school,AM or PM,actual bedtime: school,actual bedtime: non-school,sleep_hours: school,sleep_hours: nonschool,sleep arrangement,wake-up at night,sleep in school,parent: BR_TV,parent: BR_computer,parent: BR_tablet,parent: BR_cellphone,parent: BR_game,parent: BR_MP3,parent: off_TV,parent: off_computer,parent: off_tablet,parent: off_cell,parent: off_game,parent: off_mp3,child: BR_TV,child: BR_computer,child: BR_tablet,child: BR_cell,child: BR_game,child: BR_MP3,child: off_TV,child: off_computer,child: off_tablet,child: off_cell,child: off_game,child: off_mp3,parent: difficult_evening,parent: difficult_pets,parent: difficult_in-noise,parent: difficult_out-noise,parent: difficult_temperature,parent: difficult_light,diffTVpar,diffcomppar,difftabletpar,diffcellpar,diffvideopar,diffmp3par,diffHWchild,diffeveningchild,diffpetschild,diffinnoisechild,diffoutnoisechild,difftempchild,difflightchild,diffTVchild,diffcompchild,difftabletchild,diffcellchild,diffvideochild,diffmp3child,parent: texts/emails,child: texts/emails,parent: regular meal time,parent: regular bedtime,parent: regular wake-up time,child: reg breakfast time,child: reg evening meal time,child: regular bedtime,child: reg wake-up time,rules_bedtime,rules_TV,rules_caffeine,rules_phone,rules_computer/tablet,rules_games,impact_performance,impact_mood,impact_behavior,impact_quality of life,marital status
582,1.5093,12/16/13 20:21,12/16/13 20:29,8,1,1,2,9,1,0,2,2,2,2,2,2,2,2,2,2,9,4,4,4,1,4,4,4,4,4,4,4,2,4,4,4,4,9,2,6,1,9,2,8,1,9,11,9,12,3,1,1,2,2,1,2,2,2,#NULL!,#NULL!,2,#NULL!,#NULL!,#NULL!,1,1,2,2,1,1,1,1,#NULL!,#NULL!,1,1,3,4,4,4,4,4,#NULL!,#NULL!,4,#NULL!,#NULL!,#NULL!,4,4,4,4,4,4,4,4,4,#NULL!,#NULL!,4,4,4,4,1,1,1,1,1,1,1,4,4,3,4,4,4,3,3,3,3,1
757,1.4017,12/18/13 11:54,12/18/13 12:27,32,1,1,2,12,2,1,3,2,2,1,1,1,1,1,1,1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,3,3,3,1,9,2,6,1,11,2,11,1,9,12,9,12,3,1,1,1,2,1,2,2,2,1,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,1,1,2,1,1,#NULL!,1,1,#NULL!,1,4,4,4,4,4,4,4,#NULL!,4,#NULL!,#NULL!,#NULL!,4,4,4,4,4,4,4,4,#NULL!,4,4,#NULL!,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2
977,0.3820,12/19/13 3:51,12/19/13 4:05,14,1,1,1,10,2,0,1,4,1,1,1,1,1,1,1,1,10,1,4,4,1,4,4,4,4,4,1,-1,1,4,4,4,4,9,2,7,1,10,2,9,1,10,11,9,12,3,1,1,2,2,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,2,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,2,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,2,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
990,1.5595,12/19/13 4:21,12/19/13 4:30,8,1,1,3,16,2,0,3,3,2,3,1,2,1,1,1,1,9,2,2,2,1,3,4,3,2,4,3,3,3,4,4,3,4,11,2,8,1,11,2,11,1,9,12,9,12,3,1,1,1,1,2,1,2,1,1,1,#NULL!,2,#NULL!,1,2,1,1,1,2,2,#NULL!,1,1,2,#NULL!,#NULL!,3,4,4,4,3,4,4,4,#NULL!,4,#NULL!,4,4,4,3,4,4,4,4,#NULL!,4,4,4,#NULL!,#NULL!,4,4,1,1,1,1,1,1,2,2,2,1,2,3,2,3,2,2,2,1
1184,0.5045,12/19/13 20:55,12/19/13 21:09,14,1,1,2,10,2,1,3,2,1,1,1,1,1,1,1,1,9,3,3,4,3,4,2,1,4,4,3,3,1,4,3,4,4,10,2,7,1,11,2,11,1,9,12,9,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,2,2,2,2,2,2,2,2,2,4,4,4,4,1,1,1,1,1
322,0.2454,12/13/13 17:09,12/13/13 17:22,13,1,1,1,7,1,0,1,1,1,1,1,1,1,1,1,1,11,2,2,2,2,2,2,4,4,4,1,4,1,4,2,4,4,8,2,7,1,10,2,9,1,11,11,10,12,3,1,1,1,2,2,2,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,2,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5
397,0.6595,12/14/13 2:19,12/14/13 2:28,8,1,1,2,10,2,1,3,2,1,2,2,3,1,2,3,3,10,3,4,4,2,4,2,2,4,4,2,3,1,4,3,3,4,9,2,8,1,10,2,9,1,11,11,10,12,3,1,1,1,1,1,2,2,2,1,1,1,#NULL!,#NULL!,#NULL!,2,2,1,2,1,1,#NULL!,#NULL!,1,#NULL!,1,1,3,4,4,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,4,3,4,4,4,4,4,#NULL!,#NULL!,4,#NULL!,4,4,4,4,1,1,1,3,1,2,2,2,2,1,1,1,1,2,1,2,2,1
819,0.7067,12/18/13 22:51,12/18/13 22:57,6,1,1,1,17,2,0,1,3,2,2,2,2,2,2,2,2,10,2,3,3,3,3,2,3,3,3,3,2,2,3,3,2,3,8,2,7,1,8,2,9,1,11,13,10,12,3,2,2,2,1,2,1,2,2,#NULL!,1,#NULL!,1,#NULL!,#NULL!,2,1,2,1,2,2,#NULL!,1,#NULL!,1,#NULL!,#NULL!,2,4,4,4,3,4,#NULL!,4,#NULL!,4,#NULL!,#NULL!,4,-1,4,4,4,4,4,#NULL!,4,#NULL!,4,#NULL!,#NULL!,4,3,1,1,1,1,1,1,1,4,4,4,4,4,4,2,2,2,2,1
943,1.8585,12/19/13 2:51,12/19/13 3:00,8,2,1,1,10,2,1,2,3,1,1,1,2,1,1,1,1,10,1,3,4,3,4,4,1,3,3,1,3,1,4,4,4,4,9,2,7,1,#NULL!,#NULL!,#NULL!,#NULL!,10,#NULL!,10,12,2,2,1,1,2,2,1,2,2,1,#NULL!,#NULL!,2,#NULL!,#NULL!,2,2,1,2,2,2,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,3,4,1,4,4,4,4,#NULL!,#NULL!,4,#NULL!,#NULL!,3,4,4,4,4,4,4,#NULL!,#NULL!,4,#NULL!,#NULL!,#NULL!,1,4,2,2,2,1,1,2,2,1,1,1,4,1,1,1,1,1,1,1
992,0.5413,12/19/13 4:27,12/19/13 4:54,27,2,1,2,8,2,3,5,2,2,1,1,1,1,1,1,1,10,4,3,4,4,4,4,4,4,4,2,4,2,4,2,4,4,9,2,7,1,11,2,10,1,10,11,10,12,3,2,1,1,2,2,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,2,1,2,2,2,#NULL!,#NULL!,1,#NULL!,#NULL!,4,4,4,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,4,4,4,4,4,4,4,#NULL!,#NULL!,4,#NULL!,#NULL!,2,4,1,2,2,2,1,1,2,3,3,2,2,2,2,1,1,1,1,3
